Gene	C12
C12_Sobic.002G005200	0
C12_Sobic.002G008600	0
C12_Sobic.002G013300	0
C12_Sobic.002G014600	0
C12_Sobic.002G014700	0
C12_Sobic.002G016300	1
C12_Sobic.002G017600	0
C12_Sobic.002G018400	0
C12_Sobic.002G019600	0
C12_Sobic.002G020200	3
C12_Sobic.002G020900	0
C12_Sobic.002G021000	0
C12_Sobic.002G022600	0
C12_Sobic.002G023400	0
C12_Sobic.002G025200	0
C12_Sobic.002G025400	0
C12_Sobic.002G027166	0
C12_Sobic.002G028400	0
C12_Sobic.002G030300	0
C12_Sobic.002G030400	0
C12_Sobic.002G030900	0
C12_Sobic.002G031000	0
C12_Sobic.002G031800	1
C12_Sobic.002G033200	0
C12_Sobic.002G033600	0
C12_Sobic.002G033800	1
C12_Sobic.002G034301	0
C12_Sobic.002G035000	0
C12_Sobic.002G035200	0
C12_Sobic.002G035300	0
C12_Sobic.002G035800	0
C12_Sobic.002G036000	0
C12_Sobic.002G038300	0
C12_Sobic.002G038500	0
C12_Sobic.002G038600	0
C12_Sobic.002G039400	0
C12_Sobic.002G040300	2
C12_Sobic.002G040600	0
C12_Sobic.002G041400	0
C12_Sobic.002G041533	0
C12_Sobic.002G042300	1
C12_Sobic.002G042900	0
C12_Sobic.002G043700	0
C12_Sobic.002G045900	0
C12_Sobic.002G046900	0
C12_Sobic.002G047800	0
C12_Sobic.002G048200	0
C12_Sobic.002G053200	0
C12_Sobic.002G053900	1
C12_Sobic.002G054200	0
C12_Sobic.002G055000	0
C12_Sobic.002G056500	0
C12_Sobic.002G057050	0
C12_Sobic.002G057400	0
C12_Sobic.002G060600	0
C12_Sobic.002G062600	0
C12_Sobic.002G062700	0
C12_Sobic.002G062800	0
C12_Sobic.002G063201	0
C12_Sobic.002G064900	0
C12_Sobic.002G066400	0
C12_Sobic.002G068500	1
C12_Sobic.002G069000	0
C12_Sobic.002G070200	1
C12_Sobic.002G072200	1
C12_Sobic.002G073250	0
C12_Sobic.002G074800	0
C12_Sobic.002G075800	0
C12_Sobic.002G077000	1
C12_Sobic.002G078100	0
C12_Sobic.002G080100	1
C12_Sobic.002G081700	0
C12_Sobic.002G081900	0
C12_Sobic.002G083200	1
C12_Sobic.002G084400	0
C12_Sobic.002G084900	1
C12_Sobic.002G085300	0
C12_Sobic.002G085900	0
C12_Sobic.002G089700	0
C12_Sobic.002G090200	0
C12_Sobic.002G091000	1
C12_Sobic.002G091900	0
C12_Sobic.002G095200	0
C12_Sobic.002G095300	0
C12_Sobic.002G095400	0
C12_Sobic.002G096800	0
C12_Sobic.002G100600	0
C12_Sobic.002G102000	0
C12_Sobic.002G103100	0
C12_Sobic.002G103200	0
C12_Sobic.002G103500	0
